Attendance Date,Employee Code,Department,Begin Time,End Time,In Time,Out Time,Duration,LateBy,EarlyBy,LeaveType,Leave Status,Punch Records,Over Time,Att Status,Status Code,Employee Device Code
17-May-2018,49,Default,09:30,18:30,11:51:51,,00:00,02:22,00:00,,0,11:51:51(in);,0,Present,P,49
16-May-2018,50,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,50
17-May-2018,50,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,50
16-May-2018,51,Default,09:30,18:30,09:50:51,18:35:17,08:44,00:21,00:00,,0,09:50:51(in);18:35:17(in);,0,Present,P,51
17-May-2018,51,Default,09:30,18:30,09:52:13,,00:00,00:22,00:00,,0,09:52:13(in);,0,Present,P,51
16-May-2018,52,Default,09:30,18:30,09:36:37,20:11:29,09:00,00:00,00:00,,0,09:36:37(in);20:11:29(in);,95,Present,P,52
17-May-2018,52,Default,09:30,18:30,08:55:52,,00:00,00:00,00:00,,0,08:55:52(in);,0,Present,P,52
16-May-2018,53,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,53
17-May-2018,53,Default,09:30,18:30,09:27:55,,00:00,00:00,00:00,,0,09:27:55(in);,0,Present,P,53
16-May-2018,54,Default,09:30,18:30,09:03:42,18:34:38,09:00,00:00,00:00,,0,09:03:42(in);18:34:38(in);,31,Present,P,54
17-May-2018,54,Default,09:30,18:30,09:12:42,,00:00,00:00,00:00,,0,09:12:42(in);,0,Present,P,54
16-May-2018,55,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,55
17-May-2018,55,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,55
16-May-2018,56,Default,09:30,18:30,09:41:50,18:35:20,08:54,00:00,00:00,,0,09:41:50(in);18:35:20(in);,0,Present,P,56
17-May-2018,56,Default,09:30,18:30,09:56:40,,00:00,00:27,00:00,,0,09:56:40(in);,0,Present,P,56
16-May-2018,57,Default,09:30,18:30,10:13:00,18:33:47,08:21,00:43,00:00,,0,10:13:00(in);18:33:47(in);,0,Present,P,57
17-May-2018,57,Default,09:30,18:30,09:46:36,,00:00,00:17,00:00,,0,09:46:36(in);,0,Present,P,57
16-May-2018,58,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,58
17-May-2018,58,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,58
16-May-2018,59,Default,09:30,18:30,08:40:17,18:09:30,09:00,00:00,00:20,,0,08:40:17(in);18:09:30(in);,29,Present,P,59
17-May-2018,59,Default,09:30,18:30,08:38:41,,00:00,00:00,00:00,,0,08:38:41(in);,0,Present,P,59
16-May-2018,60,Default,09:30,18:30,09:48:02,19:55:03,09:00,00:18,00:00,,0,09:48:02(in);19:55:03(in);,67,Present,P,60
17-May-2018,60,Default,09:30,18:30,10:09:29,,00:00,00:39,00:00,,0,10:09:29(in);,0,Present,P,60
16-May-2018,61,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,61
17-May-2018,61,Default,09:30,18:30,08:59:09,,00:00,00:00,00:00,,0,08:59:09(in);,0,Present,P,61
16-May-2018,62,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,62
17-May-2018,62,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,62
16-May-2018,63,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,63
